超清测试,#genre#	
第一财经,http://[2409:8087:3428:20:500::1009]:6610/PLTV/88888888/224/3221226987/index.m3u8?servicetype=1&IASHttpSessionId=RR423820220409134714119178

港澳频道,#genre#	
凤凰中文,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8#http://111.59.189.40:8445/tsfile/live/1020_1.m3u8#https://play-live.ifeng.com/live/06OLEGEGM4G.m3u8?blog.ntnas.top#http://107.151.203.111:2209/135/hk.php?id=fhzw
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8#http://111.59.189.40:8445/tsfile/live/1021_1.m3u8#http://107.151.203.111:2209/135/hk.php?id=fhzx#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226274/index.m3u8
凤凰香港,http://39.135.138.58:18890/PLTV/88888888/224/3221226251/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226251/index.m3u8
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8?zgangd#http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
无线新闻,http://radius.8866.org:800/hls/82/index.m3u8
无线财经,http://120.84.96.82:808/hls/86/index.m3u8#http://120.84.96.89:808/hls/86/index.m3u8#http://120.84.96.108:808/hls/86/index.m3u8#http://120.84.96.113:808/hls/86/index.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u#https://api.leonardpark.dev/live/icable/110#http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
有线财经,https://api.leonardpark.dev/live/icable/108
翡翠台,http://r.jdshipin.com/62WM7
TVB 星河,http://fyld.eatuo.com:9901/tsfile/live/1006_1.m3u8
星空卫视,http://120.84.96.82:808/hls/79/index.m3u8#http://120.84.96.89:808/hls/79/index.m3u8#http://120.84.96.108:808/hls/79/index.m3u8#http://120.84.96.113:808/hls/79/index.m3u8
香港佛陀,http://js1.amtb.cn/liveedge/_definst_/livetv/chunklist.m3u8#https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8
香港面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
澳门莲花,http://107.151.203.111:2209/135/hk.php?id=amlh
澳门Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8

台湾频道,#genre#
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4006/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
大爱1台,https://pulltv1.wanfudaluye.com/live/tv1.m3u8#https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2台,https://pulltv1.wanfudaluye.com/live/tv2.m3u8#https://pulltv2.wanfudaluye.com/live/tv2.m3u8
东森财经,http://123.51.230.108:18515/.m3u8
东森电影,http://120.84.96.82:808/hls/32/index.m3u8#http://120.84.96.87:808/hls/32/index.m3u8#http://120.84.96.89:808/hls/32/index.m3u8#http://120.84.96.108:808/hls/32/index.m3u8#http://120.84.96.113:808/hls/32/index.m3u8
东森洋片,http://120.84.96.82:808/hls/33/index.m3u8#http://120.84.96.87:808/hls/33/index.m3u8#http://120.84.96.89:808/hls/33/index.m3u8#http://120.84.96.108:808/hls/33/index.m3u8#http://120.84.96.113:808/hls/33/index.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
生活時尚,http://www.336699.live:1935/blocksix/4gtv-live122.stream/chunklist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
中视菁采,http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u8#http://www.336699.live:1935/blockfour/4gtv-4gtv064.stream/playlist.m3u
靖天國際台,http://www.336699.live:1935/blockfour/4gtv-4gtv063.stream/playlist.m3u8
靖天映畫,http://www.336699.live:1935/blockfour/4gtv-4gtv055.stream/playlist.m3u8
靖天卡通台,http://www.336699.live:1935/blockfour/4gtv-4gtv044.stream/playlist.m3u8
靖天戏剧台,http://www.336699.live:1935/blockfour/4gtv-4gtv058.stream/playlist.m3u8
靖天体育台,http://www.336699.live:1935/blockfour/4gtv-4gtv062.stream/playlist.m3u8
靖洋戲劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv045.stream/playlist.m3u8
采昌影劇台,http://www.336699.live:1935/blockfour/4gtv-4gtv049.stream/playlist.m3u8
生命电视台,http://211.73.19.201/live/AB167E56-808C-81D4-6471-76DC400D5192.m3u8?fmt=x264_1200K_ts&cpid=admin&size=1920X1080
创世电视,https://cdn.deepcore.online/hlsme/ctv_hk_720.m3u8
金马影院,http://hpull.kktv8.com/livekktv/128600025/playlist.m3u8
全球财经,http://www.336699.live:1935/blocksix/4gtv-live060.stream/chunklist.m3u8
宠物台,http://www.336699.live:1935/blocksix/4gtv-live110.stream/chunklist.m3u8
Gobal,http://www.336699.live:1935/blocksix/4gtv-live112.stream/chunklist.m3u8
ELTA生活旅游,http://www.336699.live:1935/blocksix/4gtv-live120.stream/chunklist.m3u8
中天美食旅游,http://www.336699.live:1935/blocksix/4gtv-live123.stream/chunklist.m3u8
MCE,http://www.336699.live:1935/blocksix/4gtv-live157.stream/chunklist.m3u8
mezzo,http://www.336699.live:1935/blockfour/4gtv-4gtv083.stream/playlist.m3u8
TRACE,http://www.336699.live:1935/blockfour/4gtv-4gtv082.stream/playlist.m3u8

海外新闻,#genre#
TVBS新闻台,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8#http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
民视新闻台,http://123.51.230.108:18663/.m3u8#http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4012/playlist.m3u8
台视新闻台,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8#http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8#http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
CNA亚洲新闻台,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8#https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNBC财经,http://www.336699.live:1935/blocksix/4gtv-live130.stream/chunklist.m3u8
CNN,http://ip2121.com:8081/live/cnn/playlist.m3u8
FOX NEWS,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
News max,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index_720.m3u8
KBS WORLD,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8#https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
NHK  WORLD,http://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8#https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
半岛新闻台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛电视台,http://live-hls-web-aja.getaj.net/AJA/02.m3u8

使用须知,#genre#
©subtlyrabbit,http://#.m3u8
最后更新时间,http://#.m3u8
2023/03/12,http://#.m3u8
禁止商用,http://#.m3u8
-------------,http://#.m3u8
领悟“两个确立”,http://#.m3u8
增强“四个意识”,http://#.m3u8
坚定“四个自信”,http://#.m3u8
做到“两个维护”,http://#.m3u8
